Job Title,Skills
Full Stack JAVA Developer/Programmer/Engineer,"Java, Spring Framework, Hibernate, J2EE, SQL, REST APIs, JUnit, Maven, Git, Jenkins, Cloud Computing, Microservices, JavaScript, HTML, CSS, React"
Full Stack Python Developer/Programmer/Engineer,"Python, Django, Flask, REST APIs, SQL, Data Structures, Algorithms, Cloud Computing, Linux, Docker, Git, JavaScript, HTML, CSS, React"
Game Developer,"Unity, C++, Game Design, Game Engines, C#, VR Development, JavaScript, Unreal Engine"
GCP DevOps Engineer,"Google Cloud, DevOps, CI/CD, Terraform, Ansible, Docker, Kubernetes, Linux, Automation, Scripting"
Gerrit Engineer,"Gerrit, Git, Code Review, Linux, Automation, Scripting, Version Control"
Git Engineer,"Git, Version Control, Branching Strategies, Code Review, CI/CD, Automation, Scripting"
Github Engineer,"GitHub, Git, Version Control, CI/CD, Automation, Scripting, GitHub Actions"
GitLab Engineer,"GitLab, Git, Version Control, CI/CD, Automation, Scripting, GitLab CI"
Gradle Engineer,"Gradle, Build Automation, Java, Groovy, CI/CD, Version Control, Git"
Grafana Engineer,"Grafana, Data Visualization, Monitoring, Alerting, Metrics, Dashboards, Linux, Cloud Computing"
Groovy Engineer,"Groovy, Scripting, Jenkins, Automation, Java, Build Automation"
INFORMATION ARCHITECT,"Information Architecture, UI/UX Design, User Research, Wireframing, Prototyping, Content Strategy"
Information Security Analyst,"Security, Network Security, Firewalls, IDS/IPS, Vulnerability Management, Penetration Testing, Security Auditing"
INTERACTION DESIGNER,"Interaction Design, UI/UX Design, Prototyping, User Research, Wireframing, Usability Testing"
IOS Developer,"Swift, Objective-C, iOS SDK, XCode, UI/UX Design, REST APIs, SQL, Mobile Development"
Istio Engineer,"Istio, Service Mesh, Kubernetes, Docker, Cloud Computing, Networking, Traffic Management, Security"
IT Manager,"Project Management, Team Leadership, Agile Methodologies, Budgeting, IT Infrastructure, Networking, Cloud Computing, Cybersecurity"
JaCoCO Engineer,"JaCoCO, Code Coverage, Java, Testing, Quality Assurance, CI/CD"
Java Developer,"Java, Spring Framework, Hibernate, J2EE, SQL, REST APIs, JUnit, Maven, Git, Jenkins, Cloud Computing, Microservices"
JavaScript Developer,"JavaScript, HTML, CSS, React, Angular, Vue.js, Node.js, TypeScript, Sass, UI/UX Design"
JIRA Engineer,"Jira, Atlassian Suite, Agile Methodologies, Workflow Configuration, User Management, Project Management"
Jr Developer,"JavaScript, Java, Python, Git, SQL, HTML, CSS, Data Structures, Algorithms"
Junior Developer,"JavaScript, Java, Python, Git, SQL, HTML, CSS, Data Structures, Algorithms"
Junior Front End Developer,"JavaScript, HTML, CSS, React, Vue.js, Git, UI/UX Basics"
Junior IOS Developer,"Swift, Objective-C, iOS SDK, XCode, UI/UX Basics, Git"
Junior Software Developer,"JavaScript, Java, Python, Git, SQL, HTML, CSS, Data Structures, Algorithms"
Junior Software Engineer,"JavaScript, Java, Python, Git, SQL, HTML, CSS, Data Structures, Algorithms"
Junior Web Developer,"HTML, CSS, JavaScript, Git, Web Development Fundamentals, UI/UX Basics"
JUnit Engineer,"JUnit, Java, Testing, Unit Testing, Test Automation, CI/CD"
kubernetes Administrator,"Kubernetes, Docker, Linux, Cloud Computing, AWS, Azure, Networking, CI/CD, Automation, Security"
Kubernetes Engineer,"Kubernetes, Docker, Linux, Cloud Computing, AWS, Azure, Networking, CI/CD, Automation, Security"
MAVEN Engineer,"Maven, Java, Build Automation, Dependency Management, CI/CD, Version Control, Git"
Micro services / API Lead Designer,"Microservices, API Design, REST APIs, SOA, Cloud Computing, Java, Python, Security"
MOBILE APP DEVELOPER,"Android SDK, Java, Kotlin, iOS, Swift, Objective-C, React Native, Flutter, Mobile Development, UI/UX Design"
Mobile Application Developer,"Android SDK, Java, Kotlin, iOS, Swift, Objective-C, React Native, Flutter, Mobile Development, UI/UX Design"
Mulesoft Developer,"MuleSoft, Anypoint Platform, API Development, Integration, Java, REST APIs, SOA"
Nagios Engineer,"Nagios, Monitoring, Linux, Scripting, Alerting, System Administration, Networking"
Network and Systems Administrator,"Networking, Linux, Windows Server, Troubleshooting, Scripting, Automation, System Administration"
Network Engineer,"TCP/IP, LAN/WAN, Routing, Switching, Firewalls, VPN, Cisco, Security, Networking Protocols"
New Grad Software Engineer,"JavaScript, Java, Python, Git, SQL, HTML, CSS, Data Structures, Algorithms"
New Relic Engineer,"New Relic, Application Performance Monitoring, Troubleshooting, Java, .NET, Cloud Computing, Metrics, Alerting"
Nexus Engineer,"Nexus, Artifact Repository, Maven, Gradle, Docker, CI/CD, Build Automation"
Nomad Engineer,"Nomad, Container Orchestration, Docker, Linux, Cloud Computing, Automation, Networking"
Notary Engineer,"Notary, Security, Docker, Container Security, Cryptography, Trust Management"
Octopus Deploy Engineer,"Octopus Deploy, Deployment Automation, CI/CD, .NET, PowerShell, Scripting, Cloud Computing"
OpenShift Engineer,"OpenShift, Kubernetes, Docker, Linux, Cloud Computing, CI/CD, Automation, Security"
OpenStack Engineer,"OpenStack, Cloud Computing, Virtualization, Networking, Linux, Automation, Scripting"
Oracle Developer,"Oracle, SQL, PL/SQL, Database Design, Performance Tuning, ETL"
Oracle SQL Developer,"Oracle SQL Developer, SQL, PL/SQL, Database Development, Performance Tuning, ETL"
Packer Engineer,"Packer, Infrastructure as Code, Cloud Computing, Automation, AWS, Azure, Google Cloud"
PHP Developer,"PHP, MySQL, Laravel, JavaScript, CSS, HTML, RESTful APIs, Symfony, Git"
Powershell Engineer,"PowerShell, Scripting, Automation, Windows Server, Cloud Computing, Active Directory"
PRODUCT MANAGER,"Product Management, Agile Methodologies, User Research, Roadmap Planning, Stakeholder Management, Communication"
Programmer,"Programming, Algorithms, Data Structures, Debugging, Software Development, Python, Java, C++"
Programmer Analyst,"Programming, Data Analysis, Requirements Gathering, SQL, Data Modeling, Process Improvement"
Prometheus Engineer,"Prometheus, Monitoring, Alerting, Metrics, Kubernetes, Docker, Cloud Computing"
Puppet Engineer,"Puppet, Ruby, Automation, Configuration Management, Linux, Cloud Computing, AWS, Azure, Infrastructure as Code"
PyTest Engineer,"PyTest, Python, Testing, Unit Testing, Test Automation, CI/CD"
Python Developer,"Python, Django, Flask, REST APIs, SQL, Data Structures, Algorithms, Cloud Computing, Linux, Docker, Git"
QA Engineer,"Automation Testing, Selenium, JUnit, TestNG, CI/CD, Python, Git, Jenkins, Test Automation, Agile Testing, Performance Testing"
React Developer,"JavaScript, React, HTML, CSS, Node.js, Redux, UI/UX Design, Git"
Robotics Engineer,"Robotics, C++, Python, ROS, Embedded Systems, Control Systems, Sensors, Actuators"
RUBY ON RAILS DEVELOPER,"Ruby on Rails, Ruby, SQL, HTML, CSS, JavaScript, REST APIs, Git"
Salesforce Developer,"Salesforce, Apex, Visualforce, Lightning, SOQL, Salesforce Administration, REST APIs"
Search Engine Optimization,"SEO, Keyword Research, On-Page Optimization, Off-Page Optimization, Content Marketing, Analytics"
SECURITY SPECIALIST,"Security, Network Security, Firewalls, IDS/IPS, Vulnerability Management, Penetration Testing, Security Auditing"
Selenium Engineer,"Selenium, Test Automation, Java, Python, WebDriver, CI/CD, Testing Frameworks"
Senior Ansible Development Engineer,"Ansible, Automation, Infrastructure as Code, Cloud Computing, AWS, Azure, Linux, Python, Scripting, Networking, Leadership"
Senior Cloud Architect,"Cloud Architecture, AWS, Azure, Google Cloud, Microservices, Kubernetes, Docker, Security, Leadership"
Senior DevOps Architect,"Cloud Computing, AWS, Azure, Google Cloud, Docker, Kubernetes, Terraform, Ansible, CI/CD, Automation, Security, Networking, Leadership"
Senior DevSecOps Architect,"DevSecOps, Cloud Security, Kubernetes, Docker, Terraform, Ansible, CI/CD, Security Automation, Vulnerability Management, Leadership"
Senior SRE Architect,"SRE, Monitoring, Kubernetes, Docker, Cloud Platforms, Linux, Automation, DevOps, CI/CD, Python, Networking, Leadership"
Senior SRE Engineer,"SRE, Monitoring, Kubernetes, Docker, Cloud Platforms, Linux, Automation, DevOps, CI/CD, Python, Networking, Leadership"
Sharepoint Developer,"SharePoint, .NET, C#, JavaScript, PowerShell, SharePoint Framework, REST APIs"
Software Developer,"Programming, Algorithms, Data Structures, Debugging, Software Development, Python, Java, C++"
Software Engineer,"Java, C++, Python, Algorithms, Data Structures, Software Design, Git, Jenkins, CI/CD, Cloud Computing"
SonarQube Engineer,"SonarQube, Code Quality, Static Code Analysis, Java, .NET, Security, CI/CD"
Splunk Enterprise Security Engineer,"Splunk Enterprise Security, Security Information and Event Management (SIEM), Threat Detection, Incident Response, Security Analysis"
SQL Developer,"SQL, T-SQL, SQL Server, Database Design, Performance Tuning, ETL, SSRS, SSIS, Data Modeling"
SRE Architect,"SRE, Cloud Architecture, Kubernetes, Docker, Monitoring, Incident Management, Automation, CI/CD, Networking"
SRE Engineer,"SRE, Monitoring, Kubernetes, Docker, Cloud Platforms, Linux, Automation, DevOps, CI/CD, Python"
SYSTEMS ADMINISTRATOR,"Linux Administration, Windows Server Administration, Networking, Troubleshooting, Scripting, Virtualization"
SYSTEMS ENGINEER,"Systems Design, Linux Administration, Windows Server Administration, Networking, Cloud Computing"
TeamCity Engineer,"TeamCity, CI/CD, Build Automation, Version Control, Git"
Tech Sales Engineer,"Technical Sales, Product Knowledge, Customer Engagement, Networking Technologies"
TECHNICAL ACCOUNT MANAGER,"Account Management, Technical Support, Customer Relationship Management (CRM), Project Management"
TECHNICAL LEAD,"Team Leadership, Project Management, Software Development Lifecycle (SDLC), Agile Methodologies"
Terraform Engineer,"Terraform, Infrastructure as Code (IaC), AWS, Azure, Google Cloud"
TFS Engineer,"TFS (Team Foundation Server), .NET Development Tools, .NET Framework"
UDeploy Engineer,"UDeploy (UrbanCode Deploy), CI/CD, Automation, Deployment Strategies, Version Control"
UI DESIGNER,"UI Design Principles, Wireframing, Prototyping, Adobe Creative Suite, Figma, User Testing"
UI Developer,"HTML5, CSS3, JavaScript, jQuery, Responsive Design, AngularJS, ReactJS"
Unity Developer,"Unity3D Engine, C#, Game Development Principles, 3D Modeling, Animation"
UX DESIGNER,"User Experience Design Principles, User Research, Wireframing, Prototyping, Usability Testing, Interaction Design"
Vault Engineer,"HashiCorp Vault, Secrets Management, Encryption, Access Control, Cloud Security"
Web Designer (UI/UX Designer),"UI/UX Design, Wireframing, Prototyping, Adobe Creative Suite, Figma"
Web Developer,"HTML5, CSS3, JavaScript, React, Node.js, AngularJS, PHP"
WordPress Developer,"WordPress, PHP, MySQL, HTML5, CSS3, JavaScript"
XL Deploy Engineer,"XL Deploy, Deployment Automation, CI/CD, Version Control"
Zabbix Engineer,"Zabbix, Monitoring Tools, Alerting Systems, Network Monitoring"
