Skills,Certifications
DATA ANALYST,"Microsoft Certified: Data Analyst Associate, Google Data Analytics Professional Certificate"
Data Engineer,"Google Cloud Professional Data Engineer, AWS Certified Big Data – Specialty"
DATA MODELER,"IBM Certified Data Modeler, Data Management Association (DAMA) CDMP"
DATA SCIENTIST,"Certified Analytics Professional (CAP), Microsoft Certified: Azure Data Scientist Associate"
Database Administrator,"Oracle Database SQL Certified Associate, Microsoft Certified: Azure Database Administrator Associate"
Datadog Engineer,"Datadog Monitoring Certification, AWS Certified DevOps Engineer – Professional"
Developer,"CompTIA IT Fundamentals+, .NET Developer Certification"
DEVOPS MANAGER,"Project Management Professional (PMP), Certified ScrumMaster (CSM)"
DevSecOps Architect,"Certified Information Systems Security Professional (CISSP), DevSecOps Foundation Certification"
DevSecOps Engineer,"Certified DevSecOps Practitioner, AWS Certified Security – Specialty"
Director of Engineering,"Project Management Professional (PMP), Executive Leadership Programs"
Docker Engineer,"Docker Certified Associate, AWS Certified Solutions Architect"
Embedded Software Engineer,"Certified Embedded Systems Engineer (CESE), Embedded C Programming Certification"
Entry Level Developer,"CompTIA IT Fundamentals+, Coding Bootcamp Certificates"
Entry Level Network Engineer,"Cisco CCNA Routing and Switching, CompTIA Network+"
Entry Level Programmer,"CompTIA IT Fundamentals+, Coding Bootcamp Certificates"
Entry Level Software Developer,"CompTIA IT Fundamentals+, Coding Bootcamp Certificates"
Entry Level Software Engineer,"CompTIA IT Fundamentals+, Coding Bootcamp Certificates"
Entry Level Web Developer,"HTML/CSS/JavaScript Certifications, Coding Bootcamp Certificates"
Envoy Engineer,"Service Mesh Certifications, Cloud Native Computing Foundation Certifications"
Falco Engineer,"Cloud Native Security Certifications, Kubernetes Security Specialist Certification"
FluentD Engineer,"FluentD Certification (if available), Cloud Native Computing Foundation Certifications"
Fortify Engineer,"Fortify Software Security Center Certification, Certified Ethical Hacker (CEH)"
FRAMEWORKS SPECIALIST,"Framework-Specific Certifications (e.g., React, Angular), Agile Methodologies Certifications"
Front End Developer,"JavaScript Developer Certificate, Front-End Web Developer Nanodegree"
Front End Web Developer,"JavaScript Developer Certificate, Front-End Web Developer Nanodegree"
Full Stack Developer,"Full Stack Web Development Bootcamp, JavaScript Developer Certificate"
Full Stack JAVA Developer/Programmer/Engineer,"Oracle Java Programmer Certification, Spring Framework Certification"
Full Stack Python Developer/Programmer/Engineer,"Python Institute Certifications, Django for Everybody Specialization"
Game Developer,"Unity Certified Developer, Game Design and Development Specialization"
GCP DevOps Engineer,"Google Cloud Professional DevOps Engineer, Google Cloud Associate Cloud Engineer"
Gerrit Engineer,"Gerrit Code Review Certification (if available), GitHub Proficiency Certifications"
Git Engineer,"GitHub Proficiency Certifications, GitLab Certifications"
Github Engineer,"GitHub Proficiency Certifications, GitLab Certifications"
GitLab Engineer,"GitLab Certified Associate, GitLab CI/CD Certification"
Gradle Engineer,"Gradle Certification, Java Developer Certification"
Grafana Engineer,"Grafana Certified Associate, Monitoring and Observability Certifications"
Groovy Engineer,"Groovy Certification, Java Developer Certification"
INFORMATION ARCHITECT,"Certified Information Architect (CIA), User Experience Professional Certification"
Information Security Analyst,"Certified Information Systems Security Professional (CISSP), Certified Ethical Hacker (CEH)"
INTERACTION DESIGNER,"Interaction Design Foundation Certifications, Certified Usability Analyst (CUA)"
IOS Developer,"Apple Certified iOS Developer, iOS App Development Bootcamp"
Istio Engineer,"Istio Certification (if available), Cloud Native Computing Foundation Certifications"
IT Manager,"Project Management Professional (PMP), ITIL Foundation Certification"
JaCoCO Engineer,"Java Developer Certification, JUnit Certification"
Java Developer,"Oracle Certified Professional, Java SE Programmer, Spring Framework Certification"
JavaScript Developer,"JavaScript Developer Certificate, Certified JavaScript Developer"
JIRA Engineer,"Atlassian Jira Administration Certification, AgilePM Certification"
Jr Developer,"CompTIA IT Fundamentals+, Coding Bootcamp Certificates"
Junior Developer,"CompTIA IT Fundamentals+, Coding Bootcamp Certificates"
Junior Front End Developer,"HTML/CSS/JavaScript Certifications, Front-End Web Development Bootcamp"
Junior IOS Developer,"Apple Certified iOS Developer, iOS App Development Bootcamp"
Junior Software Developer,"CompTIA IT Fundamentals+, Coding Bootcamp Certificates"
Junior Software Engineer,"CompTIA IT Fundamentals+, Coding Bootcamp Certificates"
Junior Web Developer,"HTML/CSS/JavaScript Certifications, Front-End Web Development Bootcamp"
JUnit Engineer,"JUnit Certification, Java Developer Certification"
Kubernetes Engineer,"Certified Kubernetes Administrator (CKA), Docker Certified Associate"
MAVEN Engineer,"Maven Certification, Java Developer Certification"
MOBILE APP DEVELOPER,"Google Associate Android Developer, Apple Certified iOS Developer"
Mobile Application Developer,"Google Associate Android Developer, Apple Certified iOS Developer"
Mulesoft Developer,"MuleSoft Certified Developer, MuleSoft Certified Architect"
Nagios Engineer,"Nagios Core Administration Certification, Linux Administration Certifications"
Network and Systems Administrator,"CompTIA Network+, Cisco CCNA"
Network Engineer,"Cisco CCNA, CompTIA Network+"
New Grad Software Engineer,"CompTIA IT Fundamentals+, Coding Bootcamp Certificates"
New Relic Engineer,"New Relic Monitoring and Observability Certifications, AWS Certified DevOps Engineer – Professional"
Nexus Engineer,"Nexus Repository Manager Certification, DevOps Institute Certifications"
Nomad Engineer,"HashiCorp Certified: Nomad Associate, Cloud Native Computing Foundation Certifications"
Notary Engineer,"Notary Security Certifications, Docker Security Certifications"
Octopus Deploy Engineer,"Octopus Deploy Certification, CI/CD Certifications"
OpenShift Engineer,"Red Hat OpenShift Administration Certification, Kubernetes Administrator Certification"
OpenStack Engineer,"OpenStack Administrator Certification, Cloud Infrastructure Certifications"
Oracle Developer,"Oracle Certified Professional, Java SE Programmer, Oracle Database SQL Certified Associate"
Oracle SQL Developer,"Oracle SQL Certified Associate, Oracle Database SQL Expert"
Packer Engineer,"HashiCorp Certified: Packer Associate, Infrastructure as Code Certifications"
PHP Developer,"Zend Certified PHP Engineer, PHP Framework Certifications"
Powershell Engineer,"Microsoft Certified: Azure Administrator Associate, Windows PowerShell Training"
PRODUCT MANAGER,"Certified Scrum Product Owner (CSPO), Product Management Professional (PMP)"
XL Deploy Engineer,"XL Deploy Certification, DevOps Institute Certifications"
Zabbix Engineer,"Zabbix Certified Specialist, Zabbix Certified Professional"
